,primary key,target values,probability
0,9000001,0,0.004168452248708158
1,9000002,0,3.370597377402318e-06
2,9000003,0,5.914920338143138e-06
3,9000004,0,4.5576211636375185e-05
4,9000005,0,1.726927905480258e-05
5,9000006,0,4.956129969116435e-05
6,9000007,0,6.583359183375502e-05
7,9000008,0,1.0408822746250524e-05
8,9000009,0,9.460539906484164e-06
9,9000010,0,4.9359203337770905e-06
10,9000011,0,2.1705323283301967e-05
11,9000012,0,0.0001730459380320471
12,9000013,0,0.001716345338538457
13,9000014,0,5.314211193887295e-05
14,9000015,0,0.0033801529160206976
15,9000016,0,3.1242734105719833e-06
16,9000017,0,7.778505670948386e-05
17,9000018,0,6.7263450241e-05
18,9000019,0,2.6003114065245624e-06
19,9000020,0,1.5079229362996955e-06
20,9000021,0,1.684872868938811e-06
21,9000022,0,0.001133704629624434
22,9000023,0,6.39705972462034e-05
23,9000024,0,4.548228735197259e-05
24,9000025,0,1.0359904154141729e-05
25,9000026,0,0.0002328999224915768
26,9000027,0,1.2056503587694698e-05
27,9000028,0,1.6191972970365481e-06
28,9000029,0,0.0005750597109116866
29,9000030,0,0.00012915446571394525
30,9000031,0,8.769811072977131e-05
31,9000032,0,3.2350976907713205e-06
32,9000033,0,8.999423738282797e-05
33,9000034,0,2.2082574564096645e-06
34,9000035,0,4.425610072287057e-05
35,9000036,0,0.0004208267042582686
36,9000037,0,7.371235641276986e-06
37,9000038,0,8.2148292330233e-05
38,9000039,0,0.00015187714320102547
39,9000040,0,9.392133890062434e-05
40,9000041,0,2.469600052958498e-05
41,9000042,0,4.094666543497542e-06
42,9000043,0,3.0366430973199562e-05
43,9000044,0,6.965572888651866e-05
44,9000045,0,6.302687926755894e-06
45,9000046,0,3.965927236572975e-05
46,9000047,0,2.2225333924001937e-06
47,9000048,0,7.592367235365349e-06
48,9000049,0,1.71828842577956e-05
49,9000050,0,1.9081510926032774e-06
50,9000051,0,5.0218422697323296e-05
51,9000052,0,1.7695849923416042e-05
52,9000053,0,2.510541056324412e-06
53,9000054,0,3.4412288219469153e-05
54,9000055,0,6.877667132870045e-06
55,9000056,0,0.0006863877580561313
56,9000057,0,1.1049700320641368e-05
57,9000058,0,2.7858831293315685e-05
58,9000059,0,3.4185425413387994e-05
59,9000060,0,1.957244517925441e-05
60,9000061,0,1.9454937805453737e-06
61,9000062,0,5.01973708534324e-06
62,9000063,0,0.0008774989174414391
63,9000064,0,0.000245708283665802
64,9000065,0,8.701464228506172e-06
65,9000066,0,8.1233260404102e-06
66,9000067,0,3.3614711302137545e-05
67,9000068,0,0.00011061323533929991
68,9000069,0,4.5205966635049224e-05
69,9000070,0,6.6132094823773125e-06
70,9000071,0,3.1894025734878675e-06
71,9000072,0,5.36298639642411e-05
72,9000073,0,0.0006401211188084194
73,9000074,0,3.294190006597577e-05
74,9000075,0,0.00023146144940665355
75,9000076,0,3.443616571563578e-05
76,9000077,0,2.028886707186745e-05
77,9000078,0,1.827754854891178e-06
78,9000079,0,3.0446264269684694e-05
79,9000080,0,7.4172138814865185e-06
80,9000081,0,1.1975294157743487e-05
81,9000082,0,0.001061276328506308
82,9000083,0,0.00013456778379607211
83,9000084,0,1.8278966893111311e-06
84,9000085,0,1.6242489309723898e-05
85,9000086,0,1.265031323620202e-06
86,9000087,0,7.331982451071496e-06
87,9000088,0,7.033814891970594e-05
88,9000089,0,3.6931408134494573e-05
89,9000090,0,2.7752159120963037e-06
90,9000091,0,0.00032899519895639357
91,9000092,0,5.755100258616881e-05
92,9000093,0,3.004491566353899e-06
93,9000094,0,1.5905363936429615e-05
94,9000095,0,0.0001001198319845952
95,9000096,0,5.455102060784307e-05
96,9000097,0,8.405365398734811e-05
97,9000098,0,1.99655605982247e-05
98,9000099,0,8.463665346525339e-06
99,9000100,0,0.0015757000823215035
100,9000101,0,2.1993040087003654e-05
101,9000102,0,0.00041557243208613126
102,9000103,0,0.0018575351057581514
103,9000104,0,8.180758718649171e-06
104,9000105,0,5.333221536601673e-06
105,9000106,0,2.12583671080612e-06
106,9000107,0,1.3303455960387535e-06
107,9000108,0,3.036939935760977e-06
108,9000109,0,0.0006744528363992572
109,9000110,0,0.00023480321330841686
110,9000111,0,4.781612622635074e-06
111,9000112,0,0.00044798261260829843
112,9000113,0,3.997089596460309e-05
113,9000114,0,0.001266591959044929
114,9000115,0,3.63999204509298e-06
115,9000116,0,3.5378387419773114e-05
116,9000117,0,3.0279430469854213e-05
117,9000118,0,2.883985594794696e-06
118,9000119,0,3.259460987749563e-05
119,9000120,0,3.0139841100456454e-06
120,9000121,0,0.0012423988251411646
121,9000122,0,2.5504923026301908e-05
122,9000123,0,5.185178362928477e-05
123,9000124,0,1.2725912931947935e-05
124,9000125,0,1.7853357567617424e-06
125,9000126,0,2.660291984203666e-05
126,9000127,0,6.482451313634008e-06
127,9000128,0,0.0001376978459961204
128,9000129,0,3.427073318787493e-06
129,9000130,0,7.498274961260889e-05
130,9000131,0,0.00014888809274850385
131,9000132,0,8.531471627054298e-06
132,9000133,0,0.00013687641332958228
133,9000134,0,0.00015331499689775593
134,9000135,0,1.47080033427649e-05
135,9000136,0,5.545865013833481e-06
136,9000137,0,9.134784484746926e-06
137,9000138,0,0.00012318574120214184
138,9000139,0,1.2790032647384817e-05
139,9000140,0,2.9653284774504234e-06
140,9000141,0,1.4465955754822368e-05
141,9000142,0,5.4105344657936324e-05
142,9000143,0,1.4861586184563324e-05
143,9000144,0,0.00013675576212829153
144,9000145,0,8.595098352240072e-05
145,9000146,0,3.212487920271715e-05
146,9000147,0,0.00018375443704756405
147,9000148,0,0.0017990742823935986
148,9000149,0,9.002007155594039e-06
149,9000150,0,0.00017793558900644293
150,9000151,0,5.343244706632183e-06
151,9000152,0,1.0197201981305034e-05
152,9000153,0,0.0007380862528509865
153,9000154,0,1.0582240730224078e-05
154,9000155,0,7.890745780003323e-07
155,9000156,0,1.4421393776305191e-05
156,9000157,0,1.6890070459409686e-06
157,9000158,0,5.5957863003686545e-05
158,9000159,0,0.0002592553310829495
159,9000160,0,0.0001992993391807955
160,9000161,0,2.988614069077322e-06
161,9000162,0,7.532556801186162e-06
162,9000163,0,1.7234311652083285e-05
163,9000164,0,0.04480538459773427
164,9000165,0,3.13481662976877e-05
165,9000166,0,6.140229958873523e-06
166,9000167,0,8.436926599638423e-05
167,9000168,0,1.3417416909600662e-05
168,9000169,0,1.3232513299855653e-05
